layout,WPM,CER,NER,numC,numIF,numF,numINF,numCancel,presented_str,input_str,timed_actions
1,1.0455838378074864,0.07407407407407407,0.8148148148148148,3,1,1,22,1,i will put on my glasses, aaiewg ,"[0.000031, ],[1.039276,a],[1.437622,a],[9.741577,i],[15.117889,e],[24.075073,w],[39.150452,g],[54.304962,cancel],[71.976562, ],[77.097992, ],[80.337891,del],[134.972137,done]"
1,1.2324005535796396,0.5849056603773585,0.018867924528301886,21,12,12,1,19,starlight and dewdrop, starlight and dewdrop,"[0.000031,a],[0.383240,a],[21.182983,del],[23.806061,del],[26.477600,c],[29.009735,del],[33.005524, ],[36.452087,s],[38.972229, ],[41.046631,del],[47.435547,cancel],[53.527222,cancel],[55.972321,t],[59.543579,cancel],[60.771942,a],[64.116302,t],[66.978149,del],[70.705841,cancel],[70.742157, ],[73.369537,del],[76.364868,r],[80.657867,cancel],[82.367310,cancel],[85.359802,l],[89.362488,cancel],[91.373596,i],[95.315582,cancel],[98.541656,g],[101.326050,cancel],[104.411835,h],[107.462494,y],[109.532990,del],[110.656311,t],[112.726105, ],[114.517456,a],[116.724548,t],[118.612610,del],[121.932190,n],[125.344055,d],[126.561768, ],[129.520935,cancel],[132.184265,b],[134.454529,del],[137.997528,d],[140.828918,e],[144.698090,cancel],[145.290955,t],[149.887207,w],[151.959991,del],[153.167694,del],[158.683014,cancel],[160.913696,cancel],[163.941040,cancel],[167.724426,w],[171.755676,cancel],[174.588501,d],[178.968353,r],[182.989349,o],[187.161743,o],[189.597931,del],[191.884705,cancel],[194.420258,cancel],[196.953583,cancel],[201.276581,cancel],[204.478973,p],[209.147644,done]"
1,2.876557477096448,0.3448275862068966,0.0,38,5,5,0,15,handicapped persons need consideration,handicapped persons need consideration,"[0.000000,cancel],[3.098389,h],[4.974640,a],[8.313324,n],[12.127594,d],[14.625671,i],[17.493530,c],[19.176208,a],[23.434967,p],[25.989655,p],[28.266479,e],[32.603333,d],[34.115814, ],[37.557495,cancel],[40.059235,p],[41.637024,h],[45.408264,r],[47.676971,del],[49.168793,del],[52.362854,cancel],[53.321747,e],[57.387878,r],[62.333099,s],[64.680634,cancel],[66.581207,o],[69.053833,t],[69.192535,t],[69.756989,t],[71.695251,del],[73.222748,del],[74.860718,del],[77.860870,cancel],[79.854950,cancel],[82.624146,n],[86.059265,s],[87.565796, ],[90.737701,cancel],[92.442474,n],[94.637177,e],[95.690887,e],[98.329468,cancel],[100.189575,d],[101.106537, ],[103.359406,cancel],[105.050079,c],[107.112732,cancel],[110.262390,cancel],[112.310974,o],[116.048920,n],[119.508484,s],[121.443817,cancel],[123.187042,i],[126.646973,d],[128.409576,e],[131.661835,r],[133.179443,a],[137.909515,t],[140.187683,cancel],[141.793274,i],[145.055023,o],[149.189240,n],[152.622894,cancel],[154.351166,cancel],[156.060150,done]"
1,3.648022184795579,0.28125,0.0,23,1,1,0,8,stability of the nation,stability of the nation,"[0.000000,s],[1.451965,t],[2.911743,a],[5.438385,cancel],[7.791931,b],[10.826477,cancel],[12.384064,i],[16.631073,l],[19.238220,i],[22.415375,t],[25.549408,y],[26.446960, ],[29.099121,o],[32.193665,f],[33.150909, ],[36.875031,cancel],[37.745331,t],[40.779663,h],[42.264557,e],[43.093475, ],[46.214996,cancel],[47.932220,n],[50.034210,cancel],[51.497772,cancel],[52.969788,cancel],[54.406708,a],[57.574860,t],[59.630890,cancel],[62.229858,i],[63.404572,t],[65.890991,del],[69.575653,o],[72.367981,n],[74.467957,done]"
1,4.094979098965112,0.18421052631578946,0.0,31,0,0,0,7,reading week is just about here,reading week is just about here,"[0.000000,r],[2.579773,e],[3.929596,a],[6.699982,cancel],[8.546906,d],[11.099121,i],[14.032593,n],[18.029663,g],[19.007446, ],[21.692017,cancel],[23.114502,cancel],[25.661133,w],[27.432770,e],[28.216583,e],[31.693604,k],[32.831329, ],[34.816040,cancel],[36.420563,i],[39.971344,cancel],[42.281494,s],[43.615509, ],[49.297882,j],[52.321442,cancel],[54.827515,u],[58.583557,s],[60.494873,t],[61.435394, ],[62.980957,a],[65.694489,b],[68.855530,o],[72.433960,u],[74.525360,t],[75.204803, ],[78.321136,cancel],[80.595947,h],[83.391144,e],[86.770477,r],[87.912537,e],[90.304993,done]"
1,3.2122950430846764,0.3191489361702128,0.0,32,5,5,0,10,the treasury department is broke,the treasury department is broke,"[0.000000,t],[3.864716,cancel],[8.425232,h],[10.121277,e],[11.281250, ],[14.291382,t],[17.968964,r],[19.344513,e],[20.631317,a],[23.816864,s],[28.091614,cancel],[30.513855,u],[31.582306,e],[33.601471,del],[37.264771,r],[39.867096,y],[40.687408, ],[43.560486,cancel],[45.419189,d],[48.739349,e],[52.077179,cancel],[52.623535,e],[53.484039,e],[55.234253,del],[56.463745,del],[58.979919,p],[60.090607,a],[64.030029,r],[66.025024,t],[69.415253,m],[71.893646,cancel],[72.582031,e],[73.592834,e],[75.405212,del],[78.463013,cancel],[81.051025,n],[84.104645,t],[85.014526, ],[86.981567,cancel],[88.476105,i],[89.815979,e],[91.293457,del],[93.924103,cancel],[96.943573,cancel],[99.146332,s],[99.944580, ],[102.757294,b],[106.973297,r],[109.035583,cancel],[110.543793,o],[113.841980,k],[115.805054,e],[118.044006,done]"
1,4.524527607117833,0.20689655172413793,0.0,23,1,1,0,5,this system of taxation,this system of taxation,"[0.000031,t],[3.288116,h],[5.271515,i],[8.661774,s],[9.479431, ],[12.033081,s],[13.920624,cancel],[15.983551,y],[18.119049,y],[19.761475,del],[21.245056,s],[23.489624,t],[24.930298,e],[28.100220,m],[29.170929, ],[31.232269,cancel],[32.774750,cancel],[34.412933,o],[37.600159,f],[38.300140, ],[40.062775,t],[40.984039,a],[44.920319,x],[46.112457,a],[47.527313,t],[49.356506,cancel],[51.074554,cancel],[53.791107,i],[55.842255,o],[58.348633,n],[60.066498,done]"
1,3.6425595998883833,0.3695652173913043,0.0,29,3,3,0,14,a duck quacks to ask for food,a duck quacks to ask for food,"[0.000031,cancel],[0.781616,a],[2.138397, ],[4.859283,cancel],[8.253967,cancel],[9.808655,d],[11.738220,cancel],[13.812805,u],[15.589966,cancel],[17.509888,c],[20.144775,k],[20.673767, ],[25.561188,q],[26.246490,e],[26.374542,e],[28.038452,del],[29.353119,del],[32.583771,u],[34.612701,cancel],[35.461304,a],[38.974884,cancel],[40.918091,c],[44.085938,k],[47.487671,s],[48.761047, ],[51.123138,cancel],[52.263947,t],[54.132965,cancel],[55.721436,o],[56.623291, ],[57.351227,e],[58.734650,cancel],[59.901398,del],[60.691284,a],[63.324188,s],[65.905396,cancel],[68.065399,cancel],[69.625031,cancel],[71.614044,k],[72.179596, ],[75.822205,f],[78.293488,o],[81.562073,r],[82.374298, ],[84.539612,cancel],[86.393921,f],[88.317841,o],[89.768066,o],[92.242828,d],[93.878540,done]"
1,4.674076099088691,0.0,0.9230769230769231,2,0,0,24,0,my watch fell in the water,my,"[0.000031,m],[2.567352,y],[4.634857,done]"
1,3.430016951649491,0.28205128205128205,0.0,28,2,2,0,9,healthy food is good for you,healthy food is good for you,"[0.000000,cancel],[0.332214,t],[1.116791,t],[2.972382,cancel],[4.957520,del],[6.637054,del],[9.543030,cancel],[14.264160,h],[16.214661,e],[17.414246,a],[20.701019,cancel],[22.974518,l],[26.341736,t],[31.680237,cancel],[34.003143,cancel],[37.333069,h],[39.550507,y],[42.530396, ],[46.056732,f],[48.222229,o],[49.596649,o],[52.999054,d],[54.439667, ],[56.707825,i],[59.961365,s],[61.485107, ],[65.413971,cancel],[67.561157,g],[69.541809,cancel],[71.567169,o],[73.108246,o],[75.886841,d],[76.615814, ],[79.293854,f],[81.121948,o],[83.182495,cancel],[84.660065,r],[85.652771, ],[88.756012,y],[91.191803,o],[94.460175,u],[96.205017,done]"
