layout,WPM,CER,NER,numC,numIF,numF,numINF,numCancel,presented_str,input_str,timed_actions
3,0.8884719356434152,0.1,0.7666666666666667,4,1,1,23,2,do not lie in court or else,doad  ,"[0.000000,d],[8.665222,o],[21.398407,a],[28.627136,d],[29.497040,cancel],[37.124603,cancel],[57.368469, ],[61.620453,del],[64.881714, ],[67.531677, ],[85.652374,done]"
3,2.5939943050118988,0.2926829268292683,0.0,29,3,3,0,9,be persistent to win a strike,be persistent to win a strike,"[0.000031,b],[2.968109,cancel],[5.387390,cancel],[8.240356,cancel],[9.875671,e],[17.580261,p],[21.370636,del],[23.040955, ],[27.334259,p],[29.690399,cancel],[31.082886,e],[36.103271,r],[40.962341,s],[45.495361,i],[50.733490,s],[54.589142,cancel],[55.916870,t],[59.880676,cancel],[60.959930,e],[67.471893,n],[70.249542,t],[72.416534, ],[74.437531,t],[77.580139,o],[79.410034, ],[83.789948,w],[86.741730,i],[90.993561,n],[95.247223, ],[97.368927,cancel],[98.715149,cancel],[99.548706,a],[102.210419, ],[106.364563,s],[108.735870,t],[112.459412,r],[115.607819,i],[120.244690,k],[122.730591,a],[123.392395,a],[125.828979,del],[127.364868,del],[128.835236,cancel],[129.529968,e],[131.927460,done]"
3,2.9245936267029293,0.18421052631578946,0.0,31,2,2,0,5,reading week is just about here,reading week is just about here,"[0.000000,cancel],[13.144318,r],[15.571045,cancel],[16.625519,e],[18.836975,cancel],[19.494293,a],[24.571228,d],[28.499908,i],[31.795990,n],[38.318207,g],[39.745026, ],[44.055115,w],[47.689575,cancel],[48.440643,e],[49.604645,e],[53.542572,k],[54.897095, ],[58.284729,i],[63.835785,s],[65.404968, ],[71.151520,j],[74.365143,x],[77.083649,del],[80.128876,u],[82.984711,s],[86.018463,t],[87.950378, ],[89.506683,a],[93.146698,b],[97.404205,o],[100.919281,u],[103.878571,cancel],[104.732330,t],[106.909943, ],[112.515320,h],[114.506805,a],[116.257507,del],[117.842499,e],[121.332031,r],[123.094025,e],[125.216309,done]"
3,4.027053030139265,0.05,0.0,19,1,1,0,0,have a good weekend,have a good weekend,"[0.000000,h],[1.821625,a],[8.674408,v],[9.992401,e],[11.762543, ],[13.313904,a],[14.392517, ],[18.763245,g],[21.401855,o],[23.479095,o],[27.208160,d],[28.732788, ],[33.948944,w],[34.714630,e],[35.303284,e],[37.644653,t],[39.709229,del],[43.745911,k],[44.974854,e],[49.054138,n],[53.637238,d],[55.871063,done]"
3,4.638016664075551,0.058823529411764705,0.0,16,0,0,0,1,i agree with you,i agree with you,"[0.000031,i],[1.479065, ],[2.353638,a],[7.033875,g],[9.631287,r],[10.712006,e],[11.251709,e],[13.532440, ],[17.982178,w],[20.351349,i],[23.164276,cancel],[23.849243,t],[27.124908,h],[28.251251, ],[32.069183,y],[35.244141,o],[38.809692,u],[40.654724,done]"
3,4.719412587841058,0.0,0.0,33,0,0,0,0,parking tickets can be challenged,parking tickets can be challenged,"[0.000000,p],[1.066620,a],[4.669891,r],[8.478851,k],[10.664764,i],[13.937775,n],[17.682190,g],[18.694824, ],[20.313080,t],[22.378326,i],[27.018372,c],[30.542664,k],[31.465820,e],[35.176819,t],[37.843140,s],[39.223816, ],[42.886566,c],[43.730347,a],[46.185852,n],[47.263824, ],[50.265869,b],[51.754181,e],[53.757477, ],[57.121185,c],[61.440552,h],[62.215790,a],[66.364868,l],[68.745728,l],[70.321625,e],[73.641144,n],[78.068237,g],[78.920746,e],[81.366058,d],[83.488647,done]"
3,4.0680863893698405,0.14705882352941177,0.0,29,3,3,0,2,i do not fully agree with you,i do not fully agree with you,"[0.000000,i],[0.819061, ],[4.561218,d],[7.540802,o],[8.474060, ],[10.555542,n],[13.000305,o],[14.917847,cancel],[16.077271,t],[16.796936, ],[20.357391,f],[23.125671,t],[25.244354,l],[27.446594,del],[29.407318,del],[32.748230,u],[34.866882,l],[36.731964,l],[41.655365,y],[42.690521, ],[44.295593,a],[47.693268,g],[51.785065,r],[53.752319,a],[55.591187,del],[56.540253,e],[57.349426,e],[58.201202, ],[61.519226,w],[63.875275,i],[66.407379,cancel],[67.042267,t],[72.112518,h],[73.320343, ],[76.192047,y],[79.748596,o],[82.594116,u],[84.279999,done]"
3,4.590459806994504,0.06451612903225806,0.0,29,0,0,0,2,these barracks are big enough,these barracks are big enough,"[0.000000,t],[4.075714,cancel],[7.838013,h],[8.925049,e],[12.055969,s],[13.630707,e],[14.641296, ],[17.733643,b],[19.191650,a],[23.204651,r],[25.430481,r],[26.445374,a],[29.171417,c],[34.114929,k],[37.578125,s],[38.984039, ],[39.970551,a],[42.479370,r],[43.640472,e],[44.382965, ],[48.145355,b],[51.233307,cancel],[53.071228,i],[56.909546,g],[57.665833, ],[58.181915,e],[61.073669,n],[64.623169,o],[67.285858,u],[70.290131,g],[73.195282,h],[75.025085,done]"
3,5.161782659043196,0.06666666666666667,0.0,28,1,1,0,1,all together in one big pile,all together in one big pile,"[0.000000,a],[1.822083,l],[3.281830,l],[4.888336,cancel],[5.486084,t],[7.879395,del],[8.560486, ],[9.701050,t],[12.900330,o],[15.809326,g],[16.904633,e],[20.319855,t],[24.347595,h],[26.169312,e],[29.305817,r],[30.034027, ],[32.586914,i],[35.870392,n],[36.860931, ],[39.263428,o],[42.304718,n],[43.162201,e],[44.068512, ],[47.315033,b],[49.646942,i],[52.923096,g],[53.763916, ],[56.698090,p],[59.277588,i],[61.968811,l],[62.769012,e],[64.725311,done]"
3,4.222017111847134,0.034482758620689655,0.0,28,0,0,0,1,just what the doctor ordered,just what the doctor ordered,"[0.000031,j],[2.042358,u],[5.304932,s],[7.160767,t],[9.319061, ],[13.310516,w],[17.949585,h],[18.903137,a],[20.246490,cancel],[20.843262,t],[22.216156, ],[22.831451,t],[25.803070,h],[27.752045,e],[28.359009, ],[30.873932,d],[33.535309,o],[37.283020,c],[40.414368,t],[43.455933,o],[48.095825,r],[50.806274, ],[54.425690,o],[60.344330,r],[63.185059,d],[65.951538,e],[68.575378,r],[70.069214,e],[76.740570,d],[79.108429,done]"
3,5.675302757168458,0.0,0.0,31,0,0,0,0,this leather jacket is too warm,this leather jacket is too warm,"[0.000000,t],[3.815216,h],[6.227631,i],[9.602173,s],[11.015717, ],[13.013855,l],[13.852600,e],[14.417938,a],[16.375061,t],[19.343414,h],[20.602905,e],[22.313110,r],[23.456451, ],[27.811676,j],[28.549133,a],[31.418610,c],[37.472443,k],[38.312469,e],[40.218079,t],[41.182953, ],[43.063446,i],[45.613678,s],[47.002014, ],[48.784882,t],[51.266815,o],[52.765137,o],[53.505554, ],[57.266327,w],[58.056366,a],[60.217590,r],[63.432739,m],[64.921204,done]"
3,4.888499349814004,0.14814814814814814,0.0,23,0,0,0,4,you must be getting old,you must be getting old,"[0.000031,y],[2.912537,o],[5.154114,u],[6.109985, ],[9.047821,m],[11.127655,u],[13.794312,s],[15.752960,cancel],[16.245575,t],[17.083527, ],[20.236603,b],[21.022705,e],[21.600281, ],[25.309601,g],[26.135620,e],[27.216278,t],[27.781189,t],[29.752441,i],[32.987518,n],[36.280212,g],[37.110352, ],[40.022491,o],[41.838440,l],[43.792633,cancel],[47.235901,cancel],[50.194000,cancel],[54.004303,d],[55.825134,done]"
3,5.022005502014815,0.061224489795918366,0.14285714285714285,39,1,1,7,2,safe to walk the streets in the evening,safe to walk the safe streets in the evening  ,"[0.000000,s],[0.938995,a],[4.021912,f],[4.801636,e],[5.798553, ],[8.391876,t],[10.903961,o],[11.523041, ],[14.744507,w],[15.400299,a],[18.623535,l],[22.059235,k],[22.858673, ],[23.282288,t],[26.722382,h],[28.257690,e],[28.975464, ],[32.173065,s],[32.972931,a],[35.907959,f],[36.500183,e],[37.019684, ],[38.273651,t],[43.623810,del],[47.230011,s],[49.401428,t],[52.780151,r],[54.162964,e],[54.819855,e],[57.863831,cancel],[58.705475,t],[62.004303,s],[63.758484, ],[66.219604,i],[69.412323,n],[71.009766, ],[72.639954,t],[75.087219,h],[78.701874,cancel],[79.193573,e],[81.375214, ],[82.006927,e],[85.857910,v],[86.880157,e],[89.722870,n],[92.046906,i],[94.773254,n],[99.738342,g],[106.672699, ],[107.526764, ],[108.782684,done]"
3,3.5968134919281196,0.18421052631578946,0.0,31,5,5,0,2,arguing with the boss is futile,arguing with the boss is futile,"[0.000000,a],[4.382660,r],[7.554932,i],[10.399445,u],[12.645447,i],[14.934296,cancel],[19.923279,n],[21.677368,del],[22.882568,del],[23.781372,del],[25.132629,del],[28.054840,g],[30.984650,u],[35.735199,i],[39.958740,n],[44.593262,g],[45.442230, ],[49.570282,w],[51.470490,i],[54.100342,t],[58.690155,cancel],[60.392761,h],[61.309662, ],[62.235260,t],[64.775208,h],[65.660675,e],[66.436768, ],[69.079193,b],[72.098358,o],[75.570374,s],[76.975555,s],[78.729553,i],[80.493744,del],[81.165955, ],[82.924713,i],[85.897186,s],[87.263824, ],[90.035034,f],[92.486694,u],[94.742249,t],[96.977661,i],[99.147247,l],[100.088593,e],[101.839905,done]"
3,5.1259219932284426,0.0,0.0,34,0,0,0,0,labour unions know how to organize,labour unions know how to organize,"[0.000000,l],[0.716705,a],[3.377563,b],[6.250763,o],[8.756500,u],[11.702148,r],[13.082672, ],[15.513214,u],[17.727203,n],[19.641541,i],[22.149017,o],[24.723633,n],[27.242493,s],[28.254303, ],[32.441650,k],[35.495087,n],[37.591095,o],[41.683136,w],[42.510803, ],[45.060364,h],[47.029999,o],[50.117737,w],[51.064697, ],[53.699341,t],[55.983398,o],[56.879242, ],[58.063629,o],[60.996277,r],[64.482635,g],[65.435913,a],[70.689789,n],[72.803223,i],[76.434692,z],[77.254395,e],[78.660278,done]"
