layout,WPM,CER,NER,numC,numIF,numF,numINF,numCancel,presented_str,input_str,timed_actions
1,0.631578608642841,0.11764705882352941,0.7647058823529411,4,1,1,26,3,the proprietor was unavailable,the ,"[0.000031,t],[13.402679,h],[17.417603,e],[33.466034,cancel],[40.123322,cancel],[42.198853,cancel],[49.171509, ],[52.150024, ],[57.000031,del],[77.842926,done]"
1,1.4172927368057722,0.4,0.5166666666666667,5,7,7,31,17,a thoroughly disgusting thing to say,ftaadeaaaaa  aa t,"[0.000000,f],[2.782135,t],[31.648804,cancel],[32.140991,a],[32.433960,a],[38.508057,d],[38.794159,e],[45.504913,cancel],[45.767609,a],[51.776550,cancel],[52.124115,a],[55.819855,cancel],[57.295776,a],[58.500183,cancel],[58.761749,a],[59.395905,a],[59.857544, ],[60.415070, ],[65.754242,cancel],[71.780640,cancel],[72.515991,a],[73.239655,a],[74.836914,cancel],[83.938965,cancel],[85.898621,cancel],[86.859406, ],[86.931458,t],[87.037292, ],[87.756531,cancel],[91.187653,cancel],[92.771576,e],[95.157074,a],[97.317993,cancel],[103.024933,cancel],[108.692139,cancel],[114.026459,cancel],[114.570923,e],[115.198242,a],[116.178619,a],[116.639893,a],[119.422943,cancel],[123.464966,del],[128.236847,del],[130.403961,del],[131.868622,del],[133.205261,del],[134.633667,del],[135.469543,del],[138.465393,done]"
1,2.931261949585656,0.23684210526315788,0.5789473684210527,7,1,1,22,8,please take a bath this month,attaaaaetea ,"[0.000031,a],[5.732849,t],[7.262634,t],[7.959198,a],[8.194061,a],[11.832916,del],[13.926758,a],[17.318451,a],[18.867004,cancel],[25.644745,a],[28.021820,cancel],[28.574127,e],[29.352631,t],[38.022949,e],[39.631958,a],[41.823914,cancel],[42.074219,cancel],[42.318176,cancel],[42.883911,cancel],[43.409454,cancel],[44.062225,cancel],[45.031799, ],[47.802246,done]"
1,2.689318396304363,0.0,0.9259259259259259,2,0,0,25,0,sit at the front of the bus,ew ,"[0.000000,e],[4.423920,w],[8.924194, ],[12.226807,done]"
1,0.992749869318492,0.4925373134328358,0.05970149253731343,30,28,28,4,5,the postal service is very slow,the postal sermvic is  very slow ,"[0.000000,cancel],[6.127441,del],[6.246857,t],[8.499023,a],[11.599762,del],[13.558533,del],[20.712128,o],[24.454987,del],[26.169800,a],[28.869019,del],[32.629761,t],[37.417511,h],[41.078369,e],[46.187958, ],[58.064453,p],[65.443512,a],[67.856567,del],[70.008392,a],[71.810425,del],[76.243713,o],[86.527679,cancel],[89.392517,e],[91.733856,t],[94.840912,del],[96.129669,del],[103.246185,s],[107.196014, ],[113.998596,t],[118.276825,del],[120.078522,del],[124.840973,t],[126.789917,a],[127.779572,a],[130.306793,del],[141.956543,l],[145.860107,t],[149.207794,del],[155.220612, ],[161.161774,s],[164.276520,e],[171.914917,r],[183.726471,m],[187.830536,v],[194.035370,i],[199.160553,c],[202.386444, ],[207.043945,i],[212.914795,s],[214.442047, ],[218.454285, ],[225.703491,cancel],[228.960297,r],[231.788574,del],[235.698120, ],[245.835114,del],[252.916748,m],[257.255829,del],[258.422424,t],[262.422638,r],[265.012299,del],[266.279449,del],[270.016846,v],[273.184631,e],[279.555756,r],[283.306702, ],[284.266602, ],[285.898499,del],[287.700989,del],[294.713318,m],[297.003052,del],[303.386108,y],[305.571014, ],[311.843231, ],[314.134521,del],[321.259430,s],[327.078156,t],[329.159088,del],[336.717773,h],[338.386810,del],[344.876373,o],[346.286407, ],[346.761505, ],[353.557526,cancel],[355.027893,del],[356.442017,del],[357.968964,del],[359.481812,cancel],[361.053680,t],[362.852081,del],[367.961151,l],[372.728607,o],[380.061005,w],[386.804382, ],[391.594421,done]"
1,1.4571245205624315,0.3448275862068966,0.034482758620689655,36,16,16,2,4,the treasurer must balance her books,  the treasurer must balance her books,"[0.000031,t],[1.710876,cancel],[2.980652,t],[4.217316,t],[4.830048,cancel],[6.690369, ],[9.440063,del],[10.683838,del],[12.047668,del],[13.239166,del],[23.852478,t],[27.503662,del],[54.280396, ],[55.946625, ],[57.268005,e],[58.195129,n],[60.500488,del],[61.724152,del],[63.629913,t],[69.668182,h],[72.502747,e],[75.288330, ],[77.983185,t],[83.601349, ],[85.302734,del],[90.573181,e],[93.262817,del],[97.796448,r],[100.874481,e],[106.974762,n],[108.982666,del],[115.992065,e],[116.679138,e],[118.693604,del],[119.851379,del],[122.611328,a],[130.196899,s],[137.968201,u],[143.965912,r],[149.215668,e],[153.574890,r],[157.562500, ],[162.851471,m],[168.034363,e],[170.805115,t],[173.773621,del],[175.194458,del],[180.312195,u],[186.557922,s],[189.271301,t],[192.472992, ],[196.621857,i],[199.101776,del],[203.672241,b],[205.342590,a],[212.611145,l],[219.057159,cancel],[222.395935,a],[233.749969,cancel],[241.169861,n],[246.289703,c],[250.941101,e],[253.997314, ],[259.674957,h],[262.901062,e],[269.108337,r],[272.341858, ],[277.470947,b],[282.142426,o],[285.404358,o],[289.912354, ],[291.947662,del],[298.721588,k],[304.709717,s],[307.627655,done]"
1,1.514281563531537,0.3617021276595745,0.02127659574468085,29,15,15,1,2,the gun discharged by accident,thh gun discharged by accident,"[0.000000,u],[2.767059,a],[3.654785,t],[5.615204,del],[6.801025,del],[7.988953,del],[9.149841,t],[10.147369,t],[11.821075,del],[15.410614,h],[17.801239,h],[21.034973, ],[26.725189,t],[28.302185,del],[34.156616,e],[35.874054,del],[40.996674,g],[46.537018,u],[56.274445,t],[59.592010,s],[61.551117,del],[63.065491,del],[70.627594,t],[72.694397,t],[74.191315,del],[75.531281,del],[81.181519,cancel],[84.752594,n],[88.947571, ],[93.451721,e],[94.980560,del],[98.060669,d],[103.558533,i],[108.899414,s],[113.306885,c],[129.445801,h],[131.780731,a],[134.885773, ],[137.753815,del],[140.243683,r],[148.145447,cancel],[153.188110,o],[154.893646,del],[161.927063,g],[165.779266,e],[169.244232,d],[172.222382, ],[177.859253,b],[180.422882, ],[181.901581,del],[185.140015,y],[187.866333, ],[189.022186,a],[192.676086,c],[197.652069,i],[201.449585,del],[204.378632,c],[209.328735,i],[216.378815,d],[218.433960,e],[224.338928,n],[229.811951,t],[233.212616,done]"
1,1.8221973451497275,0.3958333333333333,0.0,29,15,15,0,4,be persistent to win a strike,be persistent to win a strike,"[0.000000,t],[2.726196,del],[3.897095,t],[5.215454,del],[8.947052,b],[12.594818,e],[15.404755, ],[22.398346,p],[26.050903,a],[27.590637,del],[29.885071,a],[31.369995,del],[34.730835,a],[36.430389,del],[39.306793,c],[40.606140,del],[42.863342,t],[44.118927,del],[47.838715,a],[50.098053,del],[52.030334,t],[53.586853,del],[55.107819,a],[56.970032,del],[61.302765,cancel],[64.003143,a],[65.834717,t],[67.544922,del],[68.759796,del],[70.440826,a],[71.839081,del],[73.991241,e],[79.234589,r],[83.811676,s],[88.169251,i],[95.570770,cancel],[98.570740,s],[101.838806,t],[104.559052,e],[108.702911,n],[111.061584,t],[114.079620, ],[115.961731,t],[119.714966,a],[121.479004,cancel],[122.902069,del],[128.458069,o],[130.819672, ],[134.782959,w],[138.492401,i],[142.423706,n],[147.080933, ],[149.246094,a],[151.120148, ],[155.377533,s],[158.016144,t],[162.623230,r],[167.265259,f],[168.729431,del],[171.193817,i],[177.981781,k],[181.488495,e],[184.392761,cancel],[186.606598,done]"
1,1.656049495368674,0.35555555555555557,0.0,29,13,13,0,3,flashing red light means stop,flashing red light means stop,"[0.000061,t],[2.021790,del],[7.423584,cancel],[11.175232,f],[17.537109,l],[22.038727,e],[24.192413,del],[26.351013,a],[27.072968,a],[30.173096,del],[33.703125,s],[38.046204,a],[39.564453,del],[42.745514,h],[47.127960,i],[58.489227,n],[61.031311,a],[63.124603,del],[69.756866,d],[71.445679,del],[76.653625,g],[79.634033, ],[83.767822,r],[86.057251,e],[89.456543,d],[92.125183, ],[95.545105,t],[95.797302,t],[96.602448, ],[98.143005,del],[99.153381,del],[100.109650,del],[102.781647,a],[104.229492,del],[109.814056,l],[114.655518,i],[122.046295,g],[127.332306,h],[134.742249,cancel],[137.561859,t],[141.710907,e],[143.427704,del],[148.578247, ],[153.293823,cancel],[156.548615,m],[159.443909,e],[161.415588,a],[165.216553,n],[172.446442,s],[175.440765, ],[178.134125,s],[181.504730, ],[182.864655,del],[185.682373,e],[187.115326,del],[189.698730,t],[196.473633,o],[202.892487,p],[205.659088,done]"
1,1.8478568370015485,0.35185185185185186,0.0,35,17,17,0,2,rectangular objects have four sides,rectangular objects have four sides,"[0.000000,cancel],[4.303650,a],[4.714874,a],[6.956085,t],[9.677277,del],[11.182648,del],[12.284302,del],[15.783569,r],[18.069885,t],[19.568787,del],[21.541595,e],[25.195557,c],[28.688934,t],[30.078339,a],[35.146973,n],[41.538910,g],[47.907562,u],[54.997406,l],[57.524170,n],[58.757050,t],[60.414276,del],[61.536957,del],[65.724457,a],[69.945740,r],[72.130371, ],[74.990570,t],[76.158112,del],[81.594635,o],[87.634705,b],[95.847412,j],[98.482117,e],[101.609131,c],[104.211792,t],[108.386322,s],[110.130798, ],[117.274170,h],[120.069275,a],[123.302856, ],[124.716614,del],[130.147705,v],[134.132355,a],[135.528564,t],[136.992371,del],[138.036102,del],[141.514862,a],[143.397400,t],[145.125305,del],[146.269196,del],[148.250458,e],[152.138214, ],[156.006927,a],[157.436890,del],[159.239136,t],[160.477539,del],[162.127167,a],[163.956604,s],[165.882263,del],[167.187256,del],[171.064178,f],[176.276733,a],[177.405426,del],[183.250580,o],[187.516571,u],[193.450165,cancel],[196.466187,r],[198.808075, ],[204.932678,s],[208.231537,i],[213.308319,d],[216.382263,e],[220.796326,s],[223.877106,done]"
1,2.3382010425095645,0.2608695652173913,0.0,17,4,4,0,2,rain rain go away,rain rain go away,"[0.000031,cancel],[3.048279,r],[4.881500,a],[7.568054,i],[14.257355,n],[16.591034, ],[21.761810,e],[23.320831,del],[26.141541,r],[28.323242,a],[32.955292,i],[38.145508,n],[40.290985,cancel],[42.292542, ],[47.479462,d],[51.718842,g],[56.853821, ],[58.156982,del],[59.299774,del],[60.551636,del],[64.092499,g],[68.083069,o],[69.768707, ],[71.095703,a],[75.743256,w],[77.378876,a],[82.114410,y],[85.415344,done]"
1,1.5645883056944192,0.46774193548387094,0.0,33,20,20,0,9,shivering is one way to keep warm,shivering is one way to keep warm,"[0.000000,t],[3.575775,s],[8.233429,h],[14.331299,del],[16.770813,del],[18.109955,del],[22.470337,s],[31.638184,cancel],[33.899139,h],[38.457977,i],[45.352173,cancel],[48.600830,v],[52.910400,a],[54.287445,del],[55.673004,e],[59.323975,e],[60.512329,cancel],[61.809326,del],[65.425629,r],[69.771149,i],[74.582733,a],[75.756989,del],[80.623474,n],[88.663910,g],[91.410797, ],[94.466949,i],[97.471588, ],[99.038696,del],[101.301361,s],[104.982697, ],[109.707031,a],[111.278168,del],[113.505798,t],[114.920776,del],[117.594604,a],[118.783966,del],[120.803986,o],[125.567841,t],[126.956665,del],[130.816040,n],[134.078644,e],[135.811249, ],[139.783600,e],[141.164886,t],[142.379791,del],[143.585663,del],[145.746826,e],[146.847015,del],[150.929413,w],[152.478699,a],[156.849152, ],[158.344025,del],[161.104919,y],[163.428467, ],[165.930023,t],[169.915161,cancel],[171.009979,cancel],[172.966583, ],[174.217468,del],[176.575500,t],[178.463257,del],[180.055878,a],[181.202728,del],[182.881531,t],[183.913361,del],[186.922241,d],[189.915253,cancel],[191.392212,del],[196.668243,cancel],[199.162720,o],[202.517151, ],[209.695007,k],[212.137970,e],[213.004517,e],[218.554626,p],[221.143799,cancel],[223.305420, ],[230.357941,w],[232.010498,a],[237.505493,r],[242.005829,m],[245.431976,cancel],[247.818115,done]"
