layout,WPM,CER,NER,numC,numIF,numF,numINF,numCancel,presented_str,input_str,timed_actions
1,0.7816032550558494,0.03571428571428571,0.8928571428571429,2,1,1,25,0,the food at this restaurant,  ,"[0.000000, ],[4.846649, ],[9.946136,del],[15.353058, ],[31.127045,done]"
1,1.9270285258957904,0.36923076923076925,0.0,41,9,9,0,15,for murder you get a long prison sentence,for murder you get a long prison sentence,"[0.000000,cancel],[4.114410,del],[13.959595,a],[17.416718,del],[21.407410,f],[27.548676,cancel],[31.863556,cancel],[36.303741,cancel],[40.752014,cancel],[43.446320,o],[47.833130,r],[53.194763,m],[56.578766,del],[59.326996, ],[66.167847,m],[71.034485,u],[73.794647,r],[79.544434,d],[83.471069,m],[85.009003,e],[88.279694,del],[90.260773,del],[91.811218,e],[95.506195,r],[98.054657, ],[103.794861,cancel],[107.617584,y],[112.453796,cancel],[116.166443,o],[120.321747,u],[122.139923, ],[126.157410,g],[130.044220,cancel],[130.577728,e],[131.756317,e],[133.693054,del],[135.686127,t],[137.612793, ],[140.996124,a],[142.524506, ],[144.864594,cancel],[147.527893,g],[150.065338,del],[154.318909,cancel],[156.546753, ],[158.549744,del],[163.921967,cancel],[167.063782,l],[170.681030,o],[174.268158,n],[180.081116,g],[181.974213, ],[187.012024,p],[190.723694,r],[194.157562,i],[200.563355,cancel],[202.593323,s],[206.054535,o],[210.387573,cancel],[212.175690,n],[214.712585, ],[219.200775,s],[221.797028,e],[225.762024,n],[229.353088,t],[233.342896,cancel],[235.309662,cancel],[236.233063,e],[238.932007,n],[242.752411,i],[244.955994,del],[247.028534,c],[249.088165,e],[251.817291,done]"
1,2.3136605873644984,0.3870967741935484,0.0,19,10,10,0,2,the power of denial,the power of denial,"[0.000031,a],[0.603149,a],[2.075134,t],[3.204163,del],[4.166351,del],[5.600281,del],[8.753174,t],[12.220276,h],[13.521790,e],[15.312866, ],[20.166565,p],[22.591583,o],[25.043579,r],[25.517365,u],[27.001740,del],[28.047424,del],[31.170563,w],[32.662750,e],[35.596130,r],[37.387146, ],[41.708954,o],[43.946106,del],[49.490387,p],[51.348663,o],[55.282074,w],[57.095673,e],[61.146057,del],[62.094116,del],[62.984436,del],[63.901672,del],[66.199310,o],[69.939941,f],[71.754700, ],[74.758209,d],[77.872406,cancel],[78.703979,e],[81.939911,n],[86.242218,i],[87.562927,a],[91.606323,cancel],[93.358551,l],[95.721222,done]"
1,2.415290559297015,0.3783783783783784,0.0,23,5,5,0,9,user friendly interface,user friendly interface,"[0.000031,cancel],[2.967743,u],[7.465424,s],[9.734283,e],[12.507629,r],[15.256989, ],[19.795288,f],[22.823822,r],[27.519836,i],[30.967072,cancel],[31.838226,e],[34.703705,n],[38.241852,d],[42.070465,l],[47.057953,w],[49.257965,del],[53.037872,cancel],[57.112244,cancel],[61.027863,y],[63.419861, ],[66.625763,i],[69.315063,n],[73.657349,cancel],[74.635742,t],[75.966492,e],[78.503601,r],[82.737701,f],[84.135712,a],[85.889526,i],[88.476166,cancel],[91.222260,cancel],[92.343018,del],[93.377106,a],[95.700745,a],[96.963745,del],[97.852966,del],[99.495453,cancel],[100.939178,i],[102.352600,del],[106.051636,cancel],[108.144073,c],[109.303619,e],[111.385773,done]"
1,2.239224999412166,0.43859649122807015,0.0,32,10,10,0,15,the coronation was very exciting,the coronation was very exciting,"[0.000031,t],[4.301605,h],[5.593597,e],[7.669281, ],[10.484985,f],[12.157257,a],[15.285370,c],[16.710907,e],[18.065704, ],[22.644012,cancel],[23.596497,del],[24.455536,del],[25.452698,del],[26.337189,del],[27.422760,del],[30.582367,c],[33.105225,o],[38.489471,cancel],[40.088501,r],[43.775696,o],[46.451202,o],[48.046661,del],[50.709534,n],[53.129883,a],[55.188049,t],[58.118439,i],[61.729645,o],[65.676605,cancel],[67.411530,n],[69.155487, ],[73.189880,cancel],[76.924591,w],[78.171417,a],[81.282440,cancel],[83.766296,cancel],[86.138062,cancel],[87.544403,s],[89.354675, ],[97.004883,cancel],[98.862793,e],[100.360809,s],[101.661652,del],[102.782959,del],[106.928925,v],[109.351501,e],[113.472168,r],[116.469299,cancel],[119.800079,y],[121.623291, ],[124.434265,m],[126.060242,del],[127.118958,e],[130.989899,x],[133.690338,cancel],[136.342773,c],[137.925201,i],[141.154449,cancel],[142.201538,t],[144.779633,i],[149.814728,cancel],[151.302155,m],[153.480682,cancel],[154.579010,del],[157.141357,cancel],[160.448517,cancel],[162.244598,n],[166.128906,g],[168.209686,done]"
1,2.024317308595707,0.46511627906976744,0.0,23,12,12,0,8,do not walk too quickly,do not walk too quickly,"[0.000000,d],[3.666992,o],[5.226990, ],[7.641571,n],[10.167419,cancel],[11.614258,o],[12.957581,t],[15.086304, ],[19.761475,l],[22.533936,w],[23.847748,del],[24.744141,del],[27.120117,r],[29.000702,s],[29.861816,del],[30.694336,del],[33.599426,cancel],[36.590881,w],[37.885864,a],[42.715973,g],[44.128662,e],[45.008087,del],[46.422302,s],[47.162476,del],[48.121704,del],[52.266022,cancel],[54.167114,l],[57.998688,k],[59.798645, ],[63.543060,l],[66.118927,del],[68.801117,cancel],[72.256348,cancel],[73.847076,t],[77.736084,g],[78.781158,e],[79.676941,del],[80.487946,del],[83.019775,g],[83.887909,e],[84.874847,del],[85.660980,del],[88.023102,o],[89.967957,o],[91.808502, ],[96.250366,q],[100.687347,cancel],[103.327789,cancel],[106.637390,cancel],[108.649170,u],[112.277496,i],[118.291656,c],[123.204681,k],[126.531433,l],[130.414337,y],[132.013031,done]"
1,2.507099062278081,0.3584905660377358,0.0,34,8,8,0,11,one hour is allotted for questions,one hour is allotted for questions,"[0.000031,o],[2.527618,n],[3.879333,e],[6.816193,m],[8.385284, ],[9.537384,del],[10.321564,del],[13.481445,cancel],[14.796509, ],[19.609039,cancel],[23.074310,cancel],[25.212769,d],[26.690338,del],[29.421997,h],[34.761688,o],[38.801910,u],[41.277100,r],[43.081024, ],[45.464752,i],[52.246124,l],[53.824951,del],[56.442627,cancel],[58.666992,s],[60.622711, ],[62.931152,a],[66.562988,l],[69.561066,cancel],[71.706390,cancel],[73.272888,l],[76.041473,o],[78.732788,t],[79.293457,t],[80.747589,e],[83.684540,d],[85.301025, ],[87.962219,k],[88.154175,t],[89.477386,del],[90.301270,del],[92.229065,f],[94.478271,o],[96.587189,r],[98.073914, ],[103.221252,cancel],[106.740112,q],[112.130219,u],[116.165131,g],[117.969360,o],[118.843292,del],[119.566254,del],[120.399902,e],[123.713623,s],[127.195068,cancel],[128.188629,t],[133.516205,i],[135.787781,o],[141.155914,cancel],[144.656799,cancel],[147.681793,n],[155.300415,cancel],[157.951477,s],[160.245056,done]"
1,2.8082058911278938,0.2777777777777778,0.0,39,4,4,0,11,pumping helps if the roads are slippery,pumping helps if the roads are slippery,"[0.000031,cancel],[22.210907,p],[25.510071,u],[31.154236,cancel],[34.092560,m],[36.464935,o],[38.610199,i],[40.708527,del],[41.830017, ],[44.781586,del],[46.239380,del],[49.827240,p],[52.834778,i],[56.735352,cancel],[58.947479,n],[62.311401,g],[65.062347, ],[69.133728,h],[70.401794,e],[72.557373,cancel],[75.175354,l],[78.511780,p],[80.947479,cancel],[83.039276,s],[84.714630, ],[87.750122,i],[90.809662,f],[92.056854, ],[95.246735,cancel],[98.618866,t],[101.724060,cancel],[104.236664,h],[105.967712,e],[106.943420, ],[109.767273,r],[113.093109,o],[114.499451,a],[116.646149,d],[119.344818,cancel],[121.443146,cancel],[123.411224,s],[125.259674, ],[126.549622,a],[129.910248,r],[131.714325,e],[132.540405, ],[135.945343,s],[140.110229,l],[143.399811,i],[147.184235,p],[148.703339,cancel],[151.209167,p],[152.581787,e],[154.834045,cancel],[156.236877,r],[159.500702,y],[160.736694, ],[162.381256,del],[163.695984,done]"
1,4.852636828276616,0.17857142857142858,0.0,23,0,0,0,5,see you later alligator,see you later alligator,"[0.000000,s],[1.112701,e],[1.748413,e],[2.342133, ],[5.448853,y],[7.671967,cancel],[9.347290,o],[12.556305,cancel],[15.045197,u],[16.163055, ],[19.300232,l],[20.350922,a],[22.227081,t],[24.002167,cancel],[24.925568,e],[27.698547,r],[29.258698, ],[30.325958,a],[32.238708,cancel],[33.853943,l],[35.360565,l],[37.676178,cancel],[39.764984,i],[46.783600,g],[47.696136,a],[49.285706,t],[52.057861,o],[54.403412,r],[58.123627,done]"
1,3.0843273384390346,0.34782608695652173,0.0,30,6,6,0,10,universities are too expensive,universities are too expensive,"[0.000031,u],[2.967804,n],[4.987549,i],[9.797424,v],[12.762848,g],[14.616089,del],[17.519226,cancel],[19.166016,cancel],[20.153595,e],[23.513611,r],[27.693542,s],[31.576019,i],[36.082458,cancel],[37.128601,t],[41.314423,i],[43.189850,e],[47.548645,cancel],[48.908081,s],[50.103912, ],[51.265259,a],[53.438324,r],[55.065094,e],[55.798553,t],[58.013489,del],[58.810364, ],[59.213379, ],[60.987457,del],[62.306152,t],[64.652313,o],[65.854370,o],[67.199951, ],[68.819702,e],[71.934204,cancel],[73.985626,x],[77.727844,p],[79.294281,e],[83.725647,o],[85.569397,e],[86.519379,del],[87.408234,del],[88.860291,n],[90.174072,e],[92.631287,del],[95.010925,cancel],[97.108795,cancel],[98.950043,s],[101.800354,cancel],[103.195221,cancel],[105.705292,i],[110.142181,v],[112.006958,cancel],[112.828491,e],[115.145569,done]"
